model,seed,missing_modality,accuracy,f1,n
attention_gated_fusion_full,123,none,0.7696793002915452,0.7392739273927392,686
attention_gated_fusion_full,123,text,0.4037900874635568,0.5752855659397715,686
attention_gated_fusion_full,123,audio,0.7696793002915452,0.7392739273927392,686
attention_gated_fusion_full,123,vision,0.7696793002915452,0.7392739273927392,686
attention_gated_fusion_full,2024,none,0.7623906705539358,0.7287853577371048,686
attention_gated_fusion_full,2024,text,0.40524781341107874,0.575,686
attention_gated_fusion_full,2024,audio,0.7623906705539358,0.7287853577371048,686
attention_gated_fusion_full,2024,vision,0.7623906705539358,0.7287853577371048,686
attention_gated_fusion_full,42,none,0.760932944606414,0.7210884353741497,686
attention_gated_fusion_full,42,text,0.4067055393586006,0.5755995828988529,686
attention_gated_fusion_full,42,audio,0.760932944606414,0.7210884353741497,686
attention_gated_fusion_full,42,vision,0.760932944606414,0.7210884353741497,686
attention_gated_fusion_full,7,none,0.7696793002915452,0.7256944444444444,686
attention_gated_fusion_full,7,text,0.4037900874635568,0.5752855659397715,686
attention_gated_fusion_full,7,audio,0.7696793002915452,0.7256944444444444,686
attention_gated_fusion_full,7,vision,0.7696793002915452,0.7256944444444444,686
attention_gated_fusion_full,99,none,0.760932944606414,0.725752508361204,686
attention_gated_fusion_full,99,text,0.40524781341107874,0.575,686
attention_gated_fusion_full,99,audio,0.760932944606414,0.725752508361204,686
attention_gated_fusion_full,99,vision,0.760932944606414,0.725752508361204,686
dropout_only_fusion,123,none,0.7551020408163265,0.7227722772277227,686
dropout_only_fusion,123,text,0.4037900874635568,0.5752855659397715,686
dropout_only_fusion,123,audio,0.7551020408163265,0.7227722772277227,686
dropout_only_fusion,123,vision,0.7551020408163265,0.7227722772277227,686
dropout_only_fusion,2024,none,0.7638483965014577,0.7326732673267327,686
dropout_only_fusion,2024,text,0.4067055393586006,0.5764828303850156,686
dropout_only_fusion,2024,audio,0.7638483965014577,0.7326732673267327,686
dropout_only_fusion,2024,vision,0.7638483965014577,0.7326732673267327,686
dropout_only_fusion,42,none,0.7842565597667639,0.7385159010600707,686
dropout_only_fusion,42,text,0.4096209912536443,0.5759162303664922,686
dropout_only_fusion,42,audio,0.7842565597667639,0.7385159010600707,686
dropout_only_fusion,42,vision,0.7842565597667639,0.7385159010600707,686
dropout_only_fusion,7,none,0.7769679300291545,0.7348353552859619,686
dropout_only_fusion,7,text,0.40524781341107874,0.575,686
dropout_only_fusion,7,audio,0.7769679300291545,0.7348353552859619,686
dropout_only_fusion,7,vision,0.7769679300291545,0.7348353552859619,686
dropout_only_fusion,99,none,0.7871720116618076,0.7316176470588235,686
dropout_only_fusion,99,text,0.4037900874635568,0.5752855659397715,686
dropout_only_fusion,99,audio,0.7871720116618076,0.7316176470588235,686
dropout_only_fusion,99,vision,0.7871720116618076,0.7316176470588235,686
early_fusion,123,none,0.7857142857142857,0.738898756660746,686
early_fusion,123,text,0.41545189504373176,0.5783385909568874,686
early_fusion,123,audio,0.7857142857142857,0.738898756660746,686
early_fusion,123,vision,0.7857142857142857,0.738898756660746,686
early_fusion,2024,none,0.7798833819241983,0.7249544626593807,686
early_fusion,2024,text,0.5962099125364432,0.0,686
