seed,ablation,draw,n_train_used,achieved_majority_rate,text_missing_accuracy,text_missing_f1,collapsed
42,trainsize,0,1284,0.5148,,0.0406,True
42,trainsize,1,1284,0.5241,,0.0000,True
42,trainsize,2,1284,0.5078,,0.0485,True
42,trainsize,3,1284,0.5164,,0.0668,False
42,trainsize,4,1284,0.5062,,0.0104,True
123,trainsize,0,1284,0.5055,,0.0546,False
123,trainsize,1,1284,0.5031,,0.6460,False
123,trainsize,2,1284,0.5016,,0.0841,False
123,trainsize,3,1284,0.5086,,0.1120,False
123,trainsize,4,1284,0.5382,,0.6567,False
2024,trainsize,0,1284,0.5125,,0.1662,False
2024,trainsize,1,1284,0.5226,,0.6561,False
2024,trainsize,2,1284,0.5109,,0.6443,False
2024,trainsize,3,1284,0.5358,,0.6512,False
2024,trainsize,4,1284,0.5031,,0.6417,False
7,trainsize,0,1284,0.5039,,0.6434,False
7,trainsize,1,1284,0.5179,,0.6439,False
7,trainsize,2,1284,0.5117,,0.6482,False
7,trainsize,3,1284,0.5117,,0.6554,False
7,trainsize,4,1284,0.5140,,0.6508,False
99,trainsize,0,1284,0.5008,,0.0676,False
99,trainsize,1,1284,0.5016,,0.0803,False
99,trainsize,2,1284,0.5156,,0.0000,True
99,trainsize,3,1284,0.5218,,0.1830,False
99,trainsize,4,1284,0.5187,,0.0061,True
