model,seed,missingness_rate,accuracy,f1,n_test,best_val_f1
early_fusion,42,0.0,0.7263361236316807,0.757650636761072,4659,0.7539170506912443
early_fusion,42,0.25,0.6849109250912213,0.6816999132697311,4659,0.7539170506912443
early_fusion,42,0.5,0.6310367031551836,0.5758697261287935,4659,0.7539170506912443
early_fusion,42,0.75,0.5975531229877656,0.4781519621486223,4659,0.7539170506912443
late_fusion,42,0.0,0.7387851470272591,0.7593434842792169,4659,0.7673860911270983
late_fusion,42,0.25,0.6965013951491736,0.6919389978213507,4659,0.7673860911270983
late_fusion,42,0.5,0.6503541532517708,0.6073752711496746,4659,0.7673860911270983
late_fusion,42,0.75,0.6172998497531659,0.5218557253955484,4659,0.7673860911270983
fixed_weight_fusion,42,0.0,0.7374973170208199,0.7604309500489715,4659,0.7570405727923628
fixed_weight_fusion,42,0.25,0.6881305001073191,0.6750167747707448,4659,0.7570405727923628
fixed_weight_fusion,42,0.5,0.6366172998497531,0.5693207835156449,4659,0.7570405727923628
fixed_weight_fusion,42,0.75,0.5990555913286113,0.4662857142857143,4659,0.7570405727923628
dropout_only_fusion,42,0.0,0.7177505902554197,0.7474553485692337,4659,0.7583333333333333
dropout_only_fusion,42,0.25,0.6621592616441296,0.72002845962291,4659,0.7583333333333333
dropout_only_fusion,42,0.5,0.6138656364026616,0.6962687827114638,4659,0.7583333333333333
dropout_only_fusion,42,0.75,0.5720111611933891,0.6791116832957838,4659,0.7583333333333333
gating_only_no_dropout,42,0.0,0.7183945052586392,0.7594426109277594,4659,0.7574123989218329
gating_only_no_dropout,42,0.25,0.6834084567503756,0.7077471765405191,4659,0.7574123989218329
gating_only_no_dropout,42,0.5,0.6458467482292337,0.6387915936952715,4659,0.7574123989218329
gating_only_no_dropout,42,0.75,0.613221721399442,0.563680387409201,4659,0.7574123989218329
attention_gated_fusion_full,42,0.0,0.7295556986477785,0.7580645161290323,4659,0.7608391608391608
attention_gated_fusion_full,42,0.25,0.6698862416827646,0.7269176136363636,4659,0.7608391608391608
attention_gated_fusion_full,42,0.5,0.6235243614509551,0.7053091397849462,4659,0.7608391608391608
attention_gated_fusion_full,42,0.75,0.5840309079201546,0.6892238614496472,4659,0.7608391608391608
imputation_baseline_post2023,42,0.0,0.7177505902554197,0.7590251053692505,4659,0.7562724014336918
imputation_baseline_post2023,42,0.25,0.6825499034127496,0.69435833849969,4659,0.7562724014336918
imputation_baseline_post2023,42,0.5,0.6374758531873793,0.602681721947777,4659,0.7562724014336918
imputation_baseline_post2023,42,0.75,0.6033483580167418,0.5087719298245614,4659,0.7562724014336918
hard_mask_gated_fusion,42,0.0,0.7194676969306718,0.7566561161794824,4659,0.7541874151199638
hard_mask_gated_fusion,42,0.25,0.6797596050654647,0.7194433997743512,4659,0.7541874151199638
hard_mask_gated_fusion,42,0.5,0.6381197681905988,0.686500557828189,4659,0.7541874151199638
hard_mask_gated_fusion,42,0.75,0.6031337196823353,0.6644892034113591,4659,0.7541874151199638
early_fusion,123,0.0,0.7366387636831938,0.7575577949021932,4659,0.7598086124401914
early_fusion,123,0.25,0.6952135651427345,0.6772727272727272,4659,0.7598086124401914
early_fusion,123,0.5,0.6336123631680618,0.5458898643256185,4659,0.7598086124401914
early_fusion,123,0.75,0.6022751663447091,0.45096296296296295,4659,0.7598086124401914
late_fusion,123,0.0,0.7280532303069328,0.7623335209154005,4659,0.7582766439909298
late_fusion,123,0.25,0.6877012234385061,0.6837643990436861,4659,0.7582766439909298
late_fusion,123,0.5,0.6273878514702725,0.5550999487442337,4659,0.7582766439909298
late_fusion,123,0.75,0.5986263146597982,0.46140552995391704,4659,0.7582766439909298
fixed_weight_fusion,123,0.0,0.7271946769693067,0.7644987956272002,4659,0.7571942446043165
fixed_weight_fusion,123,0.25,0.6866280317664735,0.6925021061499579,4659,0.7571942446043165
fixed_weight_fusion,123,0.5,0.6325391714960292,0.5760277365032194,4659,0.7571942446043165
fixed_weight_fusion,123,0.75,0.5988409529942048,0.4849820887296776,4659,0.7571942446043165
dropout_only_fusion,123,0.0,0.7304142519854046,0.761488796050133,4659,0.7605893186003683
dropout_only_fusion,123,0.25,0.6698862416827646,0.7287477954144621,4659,0.7605893186003683
dropout_only_fusion,123,0.5,0.6235243614509551,0.7065908330545333,4659,0.7605893186003683
dropout_only_fusion,123,0.75,0.5836016312513415,0.689699296225208,4659,0.7605893186003683
gating_only_no_dropout,123,0.0,0.725262931959648,0.756838905775076,4659,0.7576036866359447
gating_only_no_dropout,123,0.25,0.6922086284610431,0.7,4659,0.7576036866359447
gating_only_no_dropout,123,0.5,0.6417686198755098,0.6040332147093713,4659,0.7576036866359447
gating_only_no_dropout,123,0.75,0.6117192530585963,0.5260675923500131,4659,0.7576036866359447
attention_gated_fusion_full,123,0.0,0.7267654003004936,0.7542945377340282,4659,0.7551401869158878
attention_gated_fusion_full,123,0.25,0.6679544966731058,0.722908830377933,4659,0.7551401869158878
attention_gated_fusion_full,123,0.5,0.6243829147885812,0.7038917089678511,4659,0.7551401869158878
attention_gated_fusion_full,123,0.75,0.5863919295986263,0.6880362635583617,4659,0.7551401869158878
imputation_baseline_post2023,123,0.0,0.7231165486155827,0.7598659717051377,4659,0.7542908762420958
imputation_baseline_post2023,123,0.25,0.6857694784288474,0.6869118905047049,4659,0.7542908762420958
imputation_baseline_post2023,123,0.5,0.6323245331616226,0.5731373037627709,4659,0.7542908762420958
imputation_baseline_post2023,123,0.75,0.5999141446662374,0.48308374930671105,4659,0.7542908762420958
hard_mask_gated_fusion,123,0.0,0.7233311869499892,0.753584400688205,4659,0.7562557924003707
hard_mask_gated_fusion,123,0.25,0.6750375617085211,0.7264185037947235,4659,0.7562557924003707
hard_mask_gated_fusion,123,0.5,0.6280317664734921,0.7018751075176329,4659,0.7562557924003707
hard_mask_gated_fusion,123,0.75,0.5906846962867568,0.6845326716294459,4659,0.7562557924003707
early_fusion,2024,0.0,0.7235458252843958,0.7617462079171291,4659,0.756174225415357
early_fusion,2024,0.25,0.6750375617085211,0.6752466752466753,4659,0.756174225415357
early_fusion,2024,0.5,0.635758746512127,0.5726517250062957,4659,0.756174225415357
early_fusion,2024,0.75,0.5958360163125134,0.4603038119805102,4659,0.756174225415357
late_fusion,2024,0.0,0.7389997853616656,0.756702681072429,4659,0.7590535972959923
late_fusion,2024,0.25,0.6840523717535952,0.6640803286170698,4659,0.7590535972959923
late_fusion,2024,0.5,0.6432710882163555,0.5614775725593667,4659,0.7590535972959923
late_fusion,2024,0.75,0.6044215496887744,0.45873715124816444,4659,0.7590535972959923
fixed_weight_fusion,2024,0.0,0.7237604636188023,0.7599328483491886,4659,0.754870865428183
fixed_weight_fusion,2024,0.25,0.6724619016956428,0.6716867469879518,4659,0.754870865428183
fixed_weight_fusion,2024,0.5,0.6333977248336553,0.5695564516129032,4659,0.754870865428183
fixed_weight_fusion,2024,0.75,0.596909207984546,0.4643468339988591,4659,0.754870865428183
dropout_only_fusion,2024,0.0,0.7286971453101524,0.7576687116564417,4659,0.7525581395348837
dropout_only_fusion,2024,0.25,0.6649495599914145,0.7228830108290432,4659,0.7525581395348837
dropout_only_fusion,2024,0.5,0.6241682764541747,0.7054667788057191,4659,0.7525581395348837
dropout_only_fusion,2024,0.75,0.5913286112899764,0.6929032258064516,4659,0.7525581395348837
gating_only_no_dropout,2024,0.0,0.721184803605924,0.757422969187675,4659,0.7583710407239819
gating_only_no_dropout,2024,0.25,0.6780424983902125,0.694997966653111,4659,0.7583710407239819
gating_only_no_dropout,2024,0.5,0.638978321528225,0.6136885622416169,4659,0.7583710407239819
gating_only_no_dropout,2024,0.75,0.6183730414251986,0.5505561172901922,4659,0.7583710407239819
attention_gated_fusion_full,2024,0.0,0.7325606353294698,0.7595522964106523,4659,0.7594339622641509
attention_gated_fusion_full,2024,0.25,0.677827860055806,0.724839596700275,4659,0.7594339622641509
attention_gated_fusion_full,2024,0.5,0.640266151534664,0.7066853342667133,4659,0.7594339622641509
