model,seed,missing_modality,accuracy,f1,n
early_fusion,42,text,0.5479716677398584,0.2677329624478442,4659
late_fusion,42,text,0.5765185662159261,0.4613704613704614,4659
fixed_weight_fusion,42,text,0.5393861343635974,0.23357142857142857,4659
dropout_only_fusion,42,text,0.4928096157973814,0.6543805762761445,4659
gating_only_no_dropout,42,text,0.5810259712384632,0.5571687840290381,4659
attention_gated_fusion_full,42,text,0.49023395578450313,0.6576329825573014,4659
imputation_baseline_post2023,42,text,0.5720111611933891,0.38759213759213756,4659
hard_mask_gated_fusion,42,text,0.49023395578450313,0.6567423038011273,4659
early_fusion,123,text,0.5097660442154969,0.0,4659
late_fusion,123,text,0.5149173642412535,0.028374892519346516,4659
fixed_weight_fusion,123,text,0.5338055376690277,0.19015659955257272,4659
dropout_only_fusion,123,text,0.48787293410603133,0.6475627769571639,4659
gating_only_no_dropout,123,text,0.5664305644988195,0.41920644048303624,4659
attention_gated_fusion_full,123,text,0.49216570079416183,0.6533841195429241,4659
imputation_baseline_post2023,123,text,0.5288688559776776,0.1279300754866905,4659
hard_mask_gated_fusion,123,text,0.5681476711740717,0.36809045226130654,4659
early_fusion,2024,text,0.5099806825499034,0.00087527352297593,4659
late_fusion,2024,text,0.5136295342348144,0.03162393162393162,4659
fixed_weight_fusion,2024,text,0.5099806825499034,0.00087527352297593,4659
dropout_only_fusion,2024,text,0.4917364241253488,0.6568115942028986,4659
gating_only_no_dropout,2024,text,0.5726550761966087,0.451666207656293,4659
attention_gated_fusion_full,2024,text,0.5181369392573514,0.6400513067179734,4659
imputation_baseline_post2023,2024,text,0.5451813693925736,0.26089989536100455,4659
hard_mask_gated_fusion,2024,text,0.5097660442154969,0.0,4659
early_fusion,7,text,0.5400300493668169,0.24674868189806679,4659
late_fusion,7,text,0.5097660442154969,0.0,4659
fixed_weight_fusion,7,text,0.48894612577806396,0.6533702140049498,4659
dropout_only_fusion,7,text,0.48787293410603133,0.6438805970149254,4659
gating_only_no_dropout,7,text,0.5675037561708521,0.5711853585869334,4659
attention_gated_fusion_full,7,text,0.48959004078128354,0.6567551963048499,4659
imputation_baseline_post2023,7,text,0.51513200257566,0.048842105263157895,4659
hard_mask_gated_fusion,7,text,0.4908778707877227,0.6562318840579711,4659
early_fusion,99,text,0.4936681691350075,0.6376900629703579,4659
late_fusion,99,text,0.49023395578450313,0.6579288492006338,4659
fixed_weight_fusion,99,text,0.48894612577806396,0.6549775394870309,4659
dropout_only_fusion,99,text,0.48959004078128354,0.6469714964370546,4659
gating_only_no_dropout,99,text,0.5460399227301996,0.30678466076696165,4659
attention_gated_fusion_full,99,text,0.5936896329684481,0.5542736048975747,4659
imputation_baseline_post2023,99,text,0.4910925091221292,0.6405942094891618,4659
hard_mask_gated_fusion,99,text,0.49023395578450313,0.6577316616227122,4659
