model,seed,missingness_rate,train_rate_range,accuracy,f1,n
dropout_only_fusion,42,0.00,0.0-0.4,0.759475,0.736000,686
dropout_only_fusion,42,0.25,0.0-0.4,0.682216,0.687679,686
dropout_only_fusion,42,0.50,0.0-0.4,0.596210,0.639792,686
dropout_only_fusion,42,0.75,0.0-0.4,0.543732,0.622437,686
dropout_only_fusion,123,0.00,0.0-0.4,0.762391,0.727880,686
dropout_only_fusion,123,0.25,0.0-0.4,0.673469,0.670588,686
dropout_only_fusion,123,0.50,0.0-0.4,0.620991,0.657895,686
dropout_only_fusion,123,0.75,0.0-0.4,0.568513,0.634568,686
dropout_only_fusion,2024,0.00,0.0-0.4,0.755102,0.727273,686
dropout_only_fusion,2024,0.25,0.0-0.4,0.686589,0.688857,686
dropout_only_fusion,2024,0.50,0.0-0.4,0.604956,0.643890,686
dropout_only_fusion,2024,0.75,0.0-0.4,0.540816,0.620939,686
dropout_only_fusion,7,0.00,0.0-0.4,0.772595,0.731959,686
dropout_only_fusion,7,0.25,0.0-0.4,0.685131,0.677612,686
dropout_only_fusion,7,0.50,0.0-0.4,0.597668,0.634921,686
dropout_only_fusion,7,0.75,0.0-0.4,0.555394,0.622991,686
dropout_only_fusion,99,0.00,0.0-0.4,0.749271,0.729560,686
dropout_only_fusion,99,0.25,0.0-0.4,0.669096,0.682517,686
dropout_only_fusion,99,0.50,0.0-0.4,0.600583,0.648718,686
dropout_only_fusion,99,0.75,0.0-0.4,0.545190,0.626794,686
attention_gated_fusion_full,42,0.00,0.0-0.4,0.750729,0.732394,686
attention_gated_fusion_full,42,0.25,0.0-0.4,0.680758,0.689362,686
attention_gated_fusion_full,42,0.50,0.0-0.4,0.596210,0.646232,686
attention_gated_fusion_full,42,0.75,0.0-0.4,0.548105,0.626506,686
attention_gated_fusion_full,123,0.00,0.0-0.4,0.782799,0.734403,686
attention_gated_fusion_full,123,0.25,0.0-0.4,0.693878,0.675926,686
attention_gated_fusion_full,123,0.50,0.0-0.4,0.626822,0.656836,686
attention_gated_fusion_full,123,0.75,0.0-0.4,0.575802,0.634881,686
attention_gated_fusion_full,2024,0.00,0.0-0.4,0.794461,0.740331,686
attention_gated_fusion_full,2024,0.25,0.0-0.4,0.711370,0.687697,686
attention_gated_fusion_full,2024,0.50,0.0-0.4,0.644315,0.658263,686
attention_gated_fusion_full,2024,0.75,0.0-0.4,0.564140,0.627646,686
attention_gated_fusion_full,7,0.00,0.0-0.4,0.790087,0.732342,686
attention_gated_fusion_full,7,0.25,0.0-0.4,0.701166,0.679186,686
attention_gated_fusion_full,7,0.50,0.0-0.4,0.607872,0.629986,686
attention_gated_fusion_full,7,0.75,0.0-0.4,0.556851,0.620948,686
attention_gated_fusion_full,99,0.00,0.0-0.4,0.769679,0.734899,686
attention_gated_fusion_full,99,0.25,0.0-0.4,0.686589,0.686131,686
attention_gated_fusion_full,99,0.50,0.0-0.4,0.606414,0.646597,686
attention_gated_fusion_full,99,0.75,0.0-0.4,0.558309,0.630037,686
hard_mask_gated_fusion,42,0.00,0.0-0.4,0.755102,0.735849,686
hard_mask_gated_fusion,42,0.25,0.0-0.4,0.679300,0.685714,686
hard_mask_gated_fusion,42,0.50,0.0-0.4,0.594752,0.640827,686
hard_mask_gated_fusion,42,0.75,0.0-0.4,0.543732,0.620606,686
hard_mask_gated_fusion,123,0.00,0.0-0.4,0.791545,0.747795,686
hard_mask_gated_fusion,123,0.25,0.0-0.4,0.698251,0.683002,686
hard_mask_gated_fusion,123,0.50,0.0-0.4,0.634111,0.662180,686
hard_mask_gated_fusion,123,0.75,0.0-0.4,0.586006,0.642317,686
hard_mask_gated_fusion,2024,0.00,0.0-0.4,0.798834,0.754448,686
hard_mask_gated_fusion,2024,0.25,0.0-0.4,0.714286,0.697531,686
hard_mask_gated_fusion,2024,0.50,0.0-0.4,0.645773,0.664828,686
hard_mask_gated_fusion,2024,0.75,0.0-0.4,0.562682,0.627792,686
hard_mask_gated_fusion,7,0.00,0.0-0.4,0.772595,0.710037,686
hard_mask_gated_fusion,7,0.25,0.0-0.4,0.695335,0.670866,686
hard_mask_gated_fusion,7,0.50,0.0-0.4,0.597668,0.620879,686
hard_mask_gated_fusion,7,0.75,0.0-0.4,0.549563,0.615193,686
hard_mask_gated_fusion,99,0.00,0.0-0.4,0.778426,0.732394,686
hard_mask_gated_fusion,99,0.25,0.0-0.4,0.695335,0.686657,686
hard_mask_gated_fusion,99,0.50,0.0-0.4,0.604956,0.639148,686
hard_mask_gated_fusion,99,0.75,0.0-0.4,0.561224,0.627936,686
