model,seed,missing_rate,acc,f1
early_fusion,42,0.0,0.7725947521865889,0.7417218543046358
early_fusion,42,0.25,0.7405247813411079,0.6715867158671587
early_fusion,42,0.5,0.6953352769679301,0.5365853658536586
early_fusion,42,0.75,0.6588921282798834,0.39690721649484534
early_fusion,123,0.0,0.7857142857142857,0.738898756660746
early_fusion,123,0.25,0.6909620991253644,0.676829268292683
early_fusion,123,0.5,0.5845481049562682,0.6293888166449935
early_fusion,123,0.75,0.5379008746355685,0.612942612942613
early_fusion,2024,0.0,0.7798833819241983,0.7249544626593807
early_fusion,2024,0.25,0.7419825072886297,0.6438631790744467
early_fusion,2024,0.5,0.6953352769679301,0.5059101654846335
early_fusion,2024,0.75,0.6574344023323615,0.3699731903485255
late_fusion,42,0.0,0.7682215743440233,0.7291311754684838
late_fusion,42,0.25,0.6705539358600583,0.6676470588235294
late_fusion,42,0.5,0.5728862973760933,0.6257982120051085
late_fusion,42,0.75,0.5306122448979592,0.6139088729016786
late_fusion,123,0.0,0.7842565597667639,0.7385159010600707
late_fusion,123,0.25,0.7521865889212828,0.6666666666666666
late_fusion,123,0.5,0.7055393586005831,0.5280373831775701
late_fusion,123,0.75,0.6690962099125365,0.3978779840848806
late_fusion,2024,0.0,0.7857142857142857,0.7407407407407407
late_fusion,2024,0.25,0.7463556851311953,0.6614785992217899
late_fusion,2024,0.5,0.6997084548104956,0.5231481481481481
late_fusion,2024,0.75,0.6545189504373178,0.3779527559055118
fixed_weight_fusion,42,0.0,0.7623906705539358,0.7194492254733219
fixed_weight_fusion,42,0.25,0.7346938775510204,0.6513409961685823
fixed_weight_fusion,42,0.5,0.6909620991253644,0.5159817351598174
fixed_weight_fusion,42,0.75,0.6545189504373178,0.38441558441558443
fixed_weight_fusion,123,0.0,0.749271137026239,0.7252396166134185
fixed_weight_fusion,123,0.25,0.7230320699708455,0.6607142857142857
fixed_weight_fusion,123,0.5,0.6865889212827988,0.5315904139433552
fixed_weight_fusion,123,0.75,0.641399416909621,0.385
fixed_weight_fusion,2024,0.0,0.7755102040816326,0.7288732394366197
fixed_weight_fusion,2024,0.25,0.7448979591836735,0.6575342465753424
fixed_weight_fusion,2024,0.5,0.7026239067055393,0.5255813953488372
fixed_weight_fusion,2024,0.75,0.6647230320699709,0.3882978723404255
dropout_only_fusion,42,0.0,0.7682215743440233,0.7195767195767195
